Fruta de temporada | ≈ 2 kg | 1900 g;S D L M X
Pan integral | ≈ 1 pan/paquete grande | 715 g;S D L M X
Corn Flakes | 1 paquete | 60 g;S L
Special K | 1 paquete | 60 g;S D
Copos de avena | 1 paquete | 140 g;S D L
Jamón York | ≈ 1 paquete | 135 g;S L M X
Fiambre de pavo | ≈ 1 paquete | 140 g;S L M X
Queso de Burgos | ≈ 340 g | 340 g;S D L M X
Tomate fresco | ≈ 5–6 tomates | 755 g;S D L M X
Pimiento | ≈ 380 g + 1 rojo + 1 verde | 380 g;S D M X
Cebolla | ≈ 3 uds | 375 g;S D L M
Cebolleta | 1 pequeña | 1 ud;X
Patata | ≈ 1 kg | 770 g;S L M
Zanahoria | ≈ 210 g + 1 ud | 210 g;S L X
Calabaza | 1 trozo | 80 g;S
Apio | 2–3 ramas | 120 g;S D
Puerro | 1 ud | 60 g;S
Lechuga | ≈ 1 pieza | 190 g;D L M X
Pepino | 1 ud | 60 g;D
Rábanos | 1 manojo pequeño | 25 g;M
Guisantes | ≈ 250 g | 245 g;D L
Jamón serrano | ≈ 250–300 g | 255 g;D L X
Lomo fresco | ≈ 200 g | 195 g;L
Pechuga de pollo | ≈ 500 g | 500 g;D M
Pavo fresco | ≈ 200 g | 200 g;S
Muslo de pavo | ≈ 225–250 g | 225 g;S
Salmón | ≈ 2 lomos | 390 g;M X
Merluza | ≈ 2 lomos pequeños | 205 g;D
Rape | 150 g | 150 g;D
Sepia | ≈ 1 pequeña | 140 g;D
Huevos | ½ docena | 6 uds;S D
Mozzarella | ≈ 1 bola | 130 g;X
Yogur | 6 yogures de 125 g | 750 g;S D L M X
Tortitas para tacos | 1 paquete | 200 g;M
Macarrones | 1 paquete de 500 g | 350 g;L
Arroz | ≈ 200 g | 180 g;D
Atún en lata | ≈ 3 latas pequeñas | 165 g;D L M
Tomate frito / salsa de tomate | parte de 1 bote | 70 g;D
Tomate triturado / salsa para cocinar | ≈ 1 brick/bote pequeño | 175 g;L
Aceitunas verdes | 1 envase | 15 g;M
Ciruelas secas | ≈ 1 paquete | 125 g;S
Pasas | 1 paquete pequeño | 20 g + tabouleh;S X
Piñones | 1 paquete pequeño | 20 g;S
Quinoa | 2 vasos | 2 vasos;X
Menta fresca | 1 manojo | según receta;X
Caldo vegetal | 1 envase | según receta;X
Vinagre blanco | 1 botella si falta | según receta;X
Leche de soja | 6 × 1 L | 6 L;S D L M X
